feature,value,kind,abs_value
Contract = Month-to-month,0.137353614840878,importance,0.137353614840878
tenure,0.11421546235873901,importance,0.11421546235873901
TotalCharges,0.0930877778155465,importance,0.0930877778155465
OnlineSecurity = No,0.0625550062634207,importance,0.0625550062634207
avg_monthly_spend,0.058596916530988016,importance,0.058596916530988016
MonthlyCharges,0.056884499989877865,importance,0.056884499989877865
Contract = Two year,0.05457769246928731,importance,0.05457769246928731
TechSupport = No,0.04609602293875304,importance,0.04609602293875304
InternetService = Fiber optic,0.042591060789221785,importance,0.042591060789221785
PaymentMethod = Electronic check,0.03339230269327303,importance,0.03339230269327303
Contract = One year,0.021098480394720603,importance,0.021098480394720603
OnlineBackup = No,0.01789247841785121,importance,0.01789247841785121
addon_count,0.016866749975432443,importance,0.016866749975432443
InternetService = DSL,0.015836274344401,importance,0.015836274344401
TechSupport = Yes,0.013713105828157766,importance,0.013713105828157766
OnlineSecurity = Yes,0.013441943897400868,importance,0.013441943897400868
DeviceProtection = No,0.01332015804574856,importance,0.01332015804574856
PaperlessBilling = Yes,0.010588760016828834,importance,0.010588760016828834
PaperlessBilling = No,0.009361543013516459,importance,0.009361543013516459
InternetService = No,0.008869205350102046,importance,0.008869205350102046
StreamingTV = No internet service,0.008702287948758778,importance,0.008702287948758778
StreamingMovies = No internet service,0.00869565485889096,importance,0.00869565485889096
OnlineBackup = Yes,0.007914819441050543,importance,0.007914819441050543
DeviceProtection = No internet service,0.007504986742637804,importance,0.007504986742637804
gender = Male,0.007217280594208922,importance,0.007217280594208922
gender = Female,0.006929097284875697,importance,0.006929097284875697
TechSupport = No internet service,0.006879460314502236,importance,0.006879460314502236
Partner = Yes,0.006633928127279969,importance,0.006633928127279969
OnlineSecurity = No internet service,0.00639805789639868,importance,0.00639805789639868
Dependents = Yes,0.006277678990774001,importance,0.006277678990774001
PaymentMethod = Bank transfer (automatic),0.006235345745206426,importance,0.006235345745206426
Dependents = No,0.006227621573742028,importance,0.006227621573742028
MultipleLines = No,0.006136629128982897,importance,0.006136629128982897
Partner = No,0.00609008328171672,importance,0.00609008328171672
OnlineBackup = No internet service,0.006043047079373186,importance,0.006043047079373186
PaymentMethod = Credit card (automatic),0.006026611158609962,importance,0.006026611158609962
StreamingMovies = Yes,0.005942146918494855,importance,0.005942146918494855
StreamingMovies = No,0.005747916500092786,importance,0.005747916500092786
MultipleLines = Yes,0.005528650514065311,importance,0.005528650514065311
StreamingTV = No,0.005448676012038856,importance,0.005448676012038856
StreamingTV = Yes,0.005396549590454592,importance,0.005396549590454592
PaymentMethod = Mailed check,0.0052279042277669305,importance,0.0052279042277669305
SeniorCitizen,0.005093617092719451,importance,0.005093617092719451
DeviceProtection = Yes,0.004985577297137124,importance,0.004985577297137124
MultipleLines = No phone service,0.0022517841058629683,importance,0.0022517841058629683
PhoneService = Yes,0.0021073858778972864,importance,0.0021073858778972864
PhoneService = No,0.002018145722316027,importance,0.002018145722316027
