feature,value,kind,abs_value
tenure,-1.1540724380866723,coefficient,1.1540724380866723
Contract = Two year,-0.7737049255492177,coefficient,0.7737049255492177
MonthlyCharges,-0.7461146985754905,coefficient,0.7461146985754905
InternetService = Fiber optic,0.7224040507057387,coefficient,0.7224040507057387
InternetService = DSL,-0.659247093489684,coefficient,0.659247093489684
Contract = Month-to-month,0.6574326649803298,coefficient,0.6574326649803298
TotalCharges,0.4875176856691314,coefficient,0.4875176856691314
PaperlessBilling = No,-0.2618876492738633,coefficient,0.2618876492738633
InternetService = No,-0.25096468576908865,coefficient,0.25096468576908865
DeviceProtection = No internet service,-0.25096468576908865,coefficient,0.25096468576908865
OnlineSecurity = No internet service,-0.25096468576908865,coefficient,0.25096468576908865
StreamingMovies = No internet service,-0.25096468576908865,coefficient,0.25096468576908865
OnlineBackup = No internet service,-0.25096468576908865,coefficient,0.25096468576908865
TechSupport = No internet service,-0.25096468576908865,coefficient,0.25096468576908865
StreamingTV = No internet service,-0.25096468576908865,coefficient,0.25096468576908865
OnlineSecurity = No,0.244708098300921,coefficient,0.244708098300921
PaymentMethod = Electronic check,0.24096480986223334,coefficient,0.24096480986223334
addon_count,0.22959484360274635,coefficient,0.22959484360274635
StreamingMovies = Yes,0.21305953770431194,coefficient,0.21305953770431194
MultipleLines = No,-0.21292816932652653,coefficient,0.21292816932652653
TechSupport = No,0.21099874305552233,coefficient,0.21099874305552233
Dependents = Yes,-0.20896897689327185,coefficient,0.20896897689327185
StreamingTV = Yes,0.2000345922800235,coefficient,0.2000345922800235
OnlineSecurity = Yes,-0.18155114108484857,coefficient,0.18155114108484857
PaymentMethod = Bank transfer (automatic),-0.16071297980459168,coefficient,0.16071297980459168
PaymentMethod = Credit card (automatic),-0.16035296226554188,coefficient,0.16035296226554188
StreamingMovies = No,-0.1499025804882507,coefficient,0.1499025804882507
TechSupport = Yes,-0.14784178583945756,coefficient,0.14784178583945756
MultipleLines = Yes,0.14641385562662576,coefficient,0.14641385562662576
StreamingTV = No,-0.13687763506397246,coefficient,0.13687763506397246
PhoneService = No,-0.12129341485312566,coefficient,0.12129341485312566
MultipleLines = No phone service,-0.12129341485312566,coefficient,0.12129341485312566
OnlineBackup = No,0.11377616172331813,coefficient,0.11377616172331813
gender = Female,-0.10978575131011799,coefficient,0.10978575131011799
PaymentMethod = Mailed check,-0.10770659634513628,coefficient,0.10770659634513628
Partner = No,-0.10334746255932895,coefficient,0.10334746255932895
Partner = Yes,-0.08446026599370096,coefficient,0.08446026599370096
gender = Male,-0.07802197724290375,coefficient,0.07802197724290375
PaperlessBilling = Yes,0.07407992072083298,coefficient,0.07407992072083298
Contract = One year,-0.07153546798415776,coefficient,0.07153546798415776
PhoneService = Yes,-0.06651431369988545,coefficient,0.06651431369988545
SeniorCitizen,0.057043930204354804,coefficient,0.057043930204354804
DeviceProtection = No,0.056974129256263835,coefficient,0.056974129256263835
OnlineBackup = Yes,-0.05061920450726143,coefficient,0.05061920450726143
Dependents = No,0.021161248340256286,coefficient,0.021161248340256286
avg_monthly_spend,0.0068911914912468475,coefficient,0.0068911914912468475
DeviceProtection = Yes,0.006182827959793738,coefficient,0.006182827959793738
